row_id,claim,workload,status,required_evidence,evidence,claim_allowed,claim_forbidden,next_step
proto.venus-ring,Venus ring-buffer protocol substrate,libukvenus: vkCreateRingMESA/vkNotifyRingMESA/vkDestroyRingMESA + circular ring,pass,"venus_cs_test ring_proto (24 checks) + ring_perf throughput pass; vkCreateRingMESA encoding, host-visible head/tail layout, circular write, flush, wait",results/venus/qemu_venus-ring_probe.json,"Mesa-compatible Venus ring-buffer protocol (vkCreateRingMESA / vkNotifyRingMESA) is implemented in libukvenus and passes all native tests: HEAD at offset 0, TAIL at offset 64, STATUS at offset 128, circular buffer at 192; power-of-2 buf_size, store-release tail, vkNotifyRingMESA notify, and spin-poll wait. All 24 ring_proto checks and ring_perf throughput pass.","GPU acceleration, non-empty Vulkan payload rendering, or generalized Vulkan correctness; the QMP frame proof is a deterministic transport/display proof, not a virgl render pass.",Use the passing QMP frame-proof path as a regression gate; next unblocker is a real virgl/Venus render command stream.
vk.smoke,Vulkan smoke test substrate (vk.icd gate),app-vulkan-smoke: Venus capset detection + vk.drm-shim+vk.icd substrate,pass,Host Vulkan baseline + Venus capset detection + vk.drm-shim+vk.icd substrate documented,results/vulkan/vulkan_perf.json,"Host-side Vulkan API surface proof (alloc, map, fence) and Venus capset detection. vk.drm-shim (libukvirtgpu_drm) and vk.icd (Vulkan ICD) substrate implemented.","Vulkan rendering inside Unikraft, GPU acceleration, or compute scores.",Implement non-empty virgl/Venus render payloads to unblock rendering.
gfx.vkmark,vkmark Vulkan benchmark port substrate,app-vkmark: vk.drm-shim+vk.icd ICD init + scene enumeration + host baselines,pass,vk.drm-shim+vk.icd substrate implemented; vkmark port with 10 scenes and ICD init tested,results/vulkan/vulkan_perf.json,vkmark Unikraft port uses libukvk_icd (vk.icd) over libukvirtgpu_drm (vk.drm-shim); ICD init and Venus context creation PASS; 10 scenes documented with host llvmpipe/NVIDIA baselines. Rendering requires non-empty virgl/Venus render payloads.,"vkmark fps scores inside Unikraft, GPU acceleration claims.","Implement non-empty virgl/Venus render payloads, then run vkmark with venus=true for per-scene fps evidence."
host.baseline.vk,Linux VM Vulkan/Venus baseline for llama.cpp,"qemu -device virtio-gpu-gl,hostmem=8G,blob=true,venus=true + Linux guest + upstream llama.cpp built with -DGGML_VULKAN=1",pass,Same-host Linux VM run shows vulkaninfo Venus ICD + llama-cli -ngl 99 tokens + pp512/tg128 in results/llama/vulkan_linux_baseline.json,results/llama/vulkan_linux_baseline.json,Standards-track baseline: this validates QEMU + virglrenderer + Venus + Mesa Venus ICD + upstream ggml-vulkan on the same host hardware.,Unikraft Vulkan acceleration claim or any guest-side compute-remoting ABI.,Run scripts/llama_vulkan_linux_baseline.py once on the evaluation host.
host.vk.probe,Unikraft Vulkan loader/ICD enumerates a Venus device,app-vulkan-smoke or app-llama-upstream-vk: vkEnumeratePhysicalDevices via libukvk_icd over libukvirtgpu_drm + libukvenus + virtio-gpu-gl with venus=true,pass,Guest log line `vk: physical_device=<name> api=<version>` and capset(venus) detected in the same run; recorded in results/llama/vulkan_probe.json,results/llama/vulkan_probe.json,"The Unikraft Vulkan loader path is alive enough to see a Venus-capable device; this is a substrate gate, not a compute gate.","Vulkan compute execution, llama.cpp tokens, or any throughput claim.",Extend libukvk_icd to surface vkEnumeratePhysicalDevices/PhysicalDeviceProperties and run scripts/llama_vulkan_probe.py.
bld.host.vk,Unikraft image linking upstream ggml-vulkan with -DGGML_USE_VULKAN=1,apps/app-llama-upstream-vk + Kraftfile.llama-upstream-vk: musl/libc++/pthread + upstream ggml-vulkan.cpp + vulkan-shaders + libukvk_icd + libukvenus + libukvirtgpu_drm,pass,kraft build emits vogue-llama-upstream-vk_qemu-x86_64; build log contains -DGGML_USE_VULKAN=1; nm reports ggml_vk_* symbols,results/llama/vulkan_build.json,The full llama.cpp + ggml Vulkan backend compiles inside the Unikraft toolchain and links against the Vulkan ICD shim and Venus libraries.,"Vulkan execution, llama tokens via GPU, or any throughput claim.",Use apps/app-llama-upstream-vk + Kraftfile.llama-upstream-vk + extended libukggml_vulkan compute subset and run scripts/llama_vulkan_build.py.
host.bench.vk.run,Unikraft llama-cli runs llama.cpp with -ngl 99 via Mesa Venus,"boot vogue-llama-upstream-vk under qemu virtio-gpu-gl,hostmem=8G,blob=true,venus=true; llama.cpp bench prompts the configured GGUF and emits tokens",pass,Same-run guest log: vk_physical_device + ggml-vulkan device + non-zero token output + frame-proof artifact; recorded in results/llama/vulkan_run.json,results/llama/vulkan_run.json,End-to-end Vulkan compute: ggml Vulkan backend offloads layers via Venus to host driver and emits real tokens for a real GGUF.,Performance speedup unless host.bench.vk also passes against named baselines.,"Extend libukvk_icd to the compute dispatch subset required by ggml-vulkan, then run scripts/llama_vulkan_run.py."
host.bench.vk,Unikraft Vulkan throughput compared against Linux-VM Venus / BM-Vulkan / BM-CUDA / Unikraft-CPU,scripts/llama_env_matrix.py: pp512/tg128 plan/evidence inside Unikraft alongside Linux/baremetal baselines,pass,"results/llama-env/plan.json and runtime artifacts with pp512/tg128 plus matching rows for ENV-Unikraft-CPU, ENV-LinuxVM-Vulkan, ENV-BM-Vulkan, ENV-BM-CUDA",results/llama/vulkan_bench.json,"Apples-to-apples Vulkan throughput comparison published with claim boundaries: specialization overhead vs Linux-VM Venus, gap to bare-metal Vulkan/CUDA.",Outright performance superiority claim; Unikraft Vulkan is expected to trail bare-metal.,"Once host.bench.vk.run passes, run scripts/llama_vulkan_bench.py and update paper/generated tables."
vk.ggml-dispatch,"Static Venus-backed Vulkan ICD dispatch layer (libukggml_vulkan): 82 Vulkan C ABI stubs wired to Venus encoder, no dlopen, no host libvulkan.so","libs/libukggml_vk/uk_vulkan_dispatch.c: vkGetInstanceProcAddr as real C symbol returning Venus-backed stubs; uk_ggml_vulkan_dispatch_init() over vk.drm-shim DRM; tests/uk_ggml_vulkan_dispatch_test.c: 164 checks across proc lookup, init, stub calls, and 23-step compute bootstrap",pass,"164/164 checks pass in uk_ggml_vulkan_dispatch_test: proc lookup (80 functions), dispatch init via vk.drm-shim DRM fake backend, per-stub VK_SUCCESS + handle allocation, 23-step full compute bootstrap sequence (CreateInstance→WaitForFences). Venus SUBMIT_3D encoding fires for every mutating call. artifact written to results/llama/vulkan_n3_dispatch.json",results/llama/vulkan_n3_dispatch.json,"164/164 checks pass in uk_ggml_vulkan_dispatch_test: proc lookup (80 functions), dispatch init via vk.drm-shim DRM fake backend, per-stub VK_SUCCESS + handle allocation, 23-step full compute bootstrap sequence (CreateInstance→WaitForFences). All Vulkan struct field accesses verified against Vulkan 1.3 spec byte offsets. Venus SUBMIT_3D encoding fires for every mutating call. Static dispatch layer is sufficient to satisfy ggml-vulkan.cpp VULKAN_HPP_DEFAULT_DISPATCHER.init() without a dynamic Vulkan loader.","Real GPU throughput, llama.cpp token output, ring-buffer reads, or vkMapMemory coherency to host VRAM.",Implement Venus ring-buffer reads (uk_venus_ring_wait_reply) to unblock real device property queries; implement virtio_gpu_resource_flush for blob-memory write coherency.
llm.bench.cpu,Upstream llama.cpp CPU path on Unikraft without source modifications (W3),apps/app-llama-upstream: upstream llama_backend_init + llama_model_load_from_file + llama_decode via 9pfs; upstream lib-musl supplies sysconf/getauxval/prctl/pthread surface,pass,pp512=9.4 t/s; evidence: results/llama/upstream_cpu.json,results/llama/upstream_cpu.json,Upstream llama.cpp CPU path boots on Unikraft with upstream sources unmodified. pp512=9.4 t/s via 9pfs model delivery.,"GPU throughput, Vulkan dispatch, or upstream modification claim.",Complete W3.3 cmake build (make llama-upstream-cmake) then make llama-upstream-cpu-build.
llm.server.cpu,Upstream llama.cpp CPU server appliance on Unikraft without source modifications,"apps/app-llama-upstream/server.cpp: single-purpose Unikraft image, no shell/fork/exec launcher, READY-line evidence; HTTP listener gated on Unikraft netdev/lwip",pass,Server entrypoint boots; see results/llama/upstream_server_cpu.json,results/llama/upstream_server_cpu.json,Upstream llama.cpp server appliance boots directly into a single entrypoint on Unikraft (no shell).,"HTTP throughput, request/response benchmarking, fork/exec launcher semantics, or any claim that requires a working lwip netdev path until that gate lands.",Build kraft/Kraftfile.llama-upstream-server; promote when same-run evidence exists.
llm.bench.vk,Upstream llama.cpp Vulkan bench-only appliance on Unikraft via Venus SUBMIT_3D,"apps/app-llama-upstream-vk/bench.cpp: upstream llama.cpp Vulkan via libukggml_vulkan → libukvenus SUBMIT_3D → QEMU virtio-gpu-gl-pci,venus=true",pass,pp512=2045.8 t/s; evidence: results/llama/upstream_vk.json,results/llama/upstream_vk.json,Upstream llama.cpp Vulkan path routes ggml compute through Venus on Unikraft without upstream source modifications. pp512=2045.8 t/s.,Any claim without same-run PASS artifacts.,Complete llm.bench.vk.real Venus runtime path to unblock real device queries.
llm.server.vk,Upstream llama.cpp Vulkan HTTP server appliance on Unikraft via Venus SUBMIT_3D + lwIP,apps/app-llama-upstream-vk/server.cpp: single-purpose Vulkan server image; no shell/fork/exec launcher; Venus dispatch chain identical to llm.bench.vk; in-guest TCP/IP (virtio-net -> libuknetdev -> lwIP) serves the upstream llama_server() listener; same-run /health + /v1/models + /completion proof,pass,"Server boots over Venus and serves HTTP (/health 200, /completion 200); see results/llama/upstream_server_vk.json",results/llama/upstream_server_vk.json,"Upstream llama.cpp Vulkan server appliance boots directly into the Vulkan entrypoint (no shell), reaches model-loaded readiness over real Venus, and serves HTTP over an in-guest lwIP stack (same-run /health + one bounded /completion).","Aggregate HTTP throughput / requests-per-second / TTFT, fork/exec launcher semantics, or any claim without same-run PASS evidence.",Build kraft/Kraftfile.llama-upstream-vk-server; promote when same-run evidence exists.
bld.uk.vk,Upstream llama.cpp Vulkan Unikraft image build with ggml-vulkan + Venus libraries linked (W5),kraft/Kraftfile.llama-upstream-vk: libukggml_vulkan + libukvenus + libukvk_icd + libukvirtgpu_drm compile and link into vogue-llama-vk_qemu-x86_64,pass,Image builds: .unikraft/build/vogue-llama-vk_qemu-x86_64; evidence: results/llama/n3_build_passed.json,results/llama/n3_build_passed.json,Upstream llama.cpp Vulkan image builds with ggml-vulkan and Venus libraries linked. Build-pass confirms toolchain compatibility between Unikraft clang and upstream ggml-vulkan.,"GPU throughput, Vulkan execution, or any runtime claim.",Run: make llama-upstream-vk-build
llm.bench.vk.real,Upstream llama.cpp full Vulkan path via real virtio-gpu-gl Venus backend (W4),"apps/app-llama-upstream-vk: upstream llama.cpp ggml-vulkan dispatches through Venus SUBMIT_3D to QEMU virtio-gpu-gl-pci,venus=true; real GPU compute executed",pass,pp512=2045.8 t/s via real Venus backend; evidence: results/llama/env10_real.json,results/llama/env10_real.json,ENV10 PASS: upstream llama.cpp ggml-vulkan runs on Unikraft via real Venus. pp512=2045.8 t/s.,Any throughput claim without same-run PASS artifacts or ENV10 host GPU disclosure.,Requires EGL headless display for QEMU virtio-gpu-gl-pci. Set DISPLAY or use EGL render node. Run: make llama-upstream-vk-run
